"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Ibuprofeno_800mg","1","3","3","0","1","1","474.67297","0","1","7","11","alive","1","0","141.78978","7","1666","3203.9587","1519.9973","1683.9614","-","1-Ibuprofeno_800mg-MAGO12K-Ypnus-M4T4_BOI"
"MAGO12K","1","16","0","0","0","0","184.14734","1","0","1","8","byplayer","0","0","-","7","1334","11753.321","9780.46","1972.861","-","1-Ibuprofeno_800mg-MAGO12K-Ypnus-M4T4_BOI"
"Ypnus","1","1","4","0","1","1","455.44412","0","1","3","7","alive","1","0","146.90437","4","1666","2812.2342","1801.9042","1010.33","-","1-Ibuprofeno_800mg-MAGO12K-Ypnus-M4T4_BOI"
"M4T4_BOI","1","17","0","0","0","0","61.210304","0","1","0","3","byplayer","0","0","-","9","665","8344.416","8344.416","-","-","1-Ibuprofeno_800mg-MAGO12K-Ypnus-M4T4_BOI"
"CAPIVARA-CALVA","2","18","0","0","0","0","307.94012","1","1","1","9","byplayer","0","0","-","12","1663","13993.93566","10065.444","3314.868","613.62366","2-CAPIVARA-CALVA"
"Alex-Lives","3","5","2","0","1","2","513.3815","2","3","2","5","byplayer","1","0","93.946434","6","1615","20438.77423","13372.72","7024.6025","41.45173","3-Alex-Lives-0_justiceiro-KaduzaoFPS"
"0_justiceiro","3","6","2","0","1","0","416.20657","0","1","4","5","byplayer","0","0","28.18423","9","1586","19799.46329","16289.095","3432.7253","77.64299","3-Alex-Lives-0_justiceiro-KaduzaoFPS"
"KaduzaoFPS","3","4","3","0","1","1","252.84846","1","2","4","2","byplayer","0","0","64.10207","6","1576","20022.649645","13773.287","6194.5454","54.817245","3-Alex-Lives-0_justiceiro-KaduzaoFPS"
"vim_do_lite","4","8","1","0","1","0","246.477","1","3","3","6","byplayer","0","0","5.7083845","10","1577","14834.7397","12085.53","2749.2097","-","4-vim_do_lite-llLordSparkll-koszz-Oboneco"
"llLordSparkll","4","19","0","0","0","0","207.13315","1","0","3","6","byzone","0","0","-","7","1468","14460.2248","11875.175","2585.0498","-","4-vim_do_lite-llLordSparkll-koszz-Oboneco"
