"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"AdriMau","1","3","4","0","1","0","479.72324","0","2","9","7","alive","0","0","33.614914","8","1692","1717.90734","838.31354","879.5938","-","1-AdriMau-Perobande-Perobinha-xJMaRcox"
"Perobande","1","4","3","0","1","0","382.47174","2","2","10","10","alive","2","0","110.30228","9","1692","2496.517","1653.6792","842.8378","-","1-AdriMau-Perobande-Perobinha-xJMaRcox"
"Perobinha","1","12","0","0","0","0","127.28703","1","0","3","5","byplayer","0","0","-","6","1267","7863.859","7180.861","682.998","-","1-AdriMau-Perobande-Perobinha-xJMaRcox"
"xJMaRcox","1","7","1","0","1","0","145.11343","0","2","5","4","byplayer","2","0","6.659376","6","1650","10497.3117","8675.072","1822.2397","-","1-AdriMau-Perobande-Perobinha-xJMaRcox"
"XxWarlockLFxX","2","1","6","0","3","4","765.6785","1","8","2","9","byplayer","4","0","58.9458","12","1658","8491.5706","7749.334","742.2366","-","2-XxWarlockLFxX-Lukyne_marth3-JuizoFinaI"
"Lukyne_marth3","2","5","3","0","2","1","645.97815","3","4","2","7","byplayer","0","0","68.4893","6","1568","15969.04","8782.787","7186.253","-","2-XxWarlockLFxX-Lukyne_marth3-JuizoFinaI"
"JuizoFinaI","2","2","5","0","2","1","701.2047","1","4","8","7","byplayer","0","0","60.261147","13","1689","15732.4735","8780.099","6952.3745","-","2-XxWarlockLFxX-Lukyne_marth3-JuizoFinaI"
"Ypnus","3","13","0","0","0","0","66.50251","0","1","0","6","byplayer","1","0","-","9","1481","13589.7064","8190.034","5399.6724","-","3-Ypnus-Ibuprofeno_800mg-M4T4_BOI-MAGO12K"
"Ibuprofeno_800mg","3","14","0","0","0","0","57.52","0","1","2","4","byplayer","0","0","-","6","1481","13009.8369","7919.8623","5089.9746","-","3-Ypnus-Ibuprofeno_800mg-M4T4_BOI-MAGO12K"
"M4T4_BOI","3","15","0","0","0","0","212.94093","0","0","1","6","byplayer","0","0","-","7","1384","13290.811","8421.55","4869.261","-","3-Ypnus-Ibuprofeno_800mg-M4T4_BOI-MAGO12K"
"MAGO12K","3","16","0","0","0","0","24.968689","0","1","1","4","byplayer","1","0","-","11","1369","13393.7861","8154.4004","5239.3857","-","3-Ypnus-Ibuprofeno_800mg-M4T4_BOI-MAGO12K"
"Alex-Lives","4","17","0","0","0","0","145.15074","0","0","0","3","byplayer","0","0","-","14","1466","12573.6476","8828.132","3745.5156","-","4-Alex-Lives-KaduzaoFPS-SargentoPE-0_justiceiro"
"KaduzaoFPS","4","19","0","0","0","0","0","0","0","0","0","suicide","0","0","-","2","949","8736.26696","8575.116","161.15096","-","4-Alex-Lives-KaduzaoFPS-SargentoPE-0_justiceiro"
"SargentoPE","4","8","1","0","1","0","125.68769","0","2","0","5","byplayer","0","0","316.58786","9","1459","11590.0455","8857.981","2732.0645","-","4-Alex-Lives-KaduzaoFPS-SargentoPE-0_justiceiro"
"0_justiceiro","4","18","0","0","0","0","77.105194","0","0","0","2","byplayer","0","0","-","5","1466","11636.519","9004.98","2631.539","-","4-Alex-Lives-KaduzaoFPS-SargentoPE-0_justiceiro"
"Master_CTA","5","9","1","0","1","0","61.700256","0","0","0","6","byplayer","0","0","80.65242","4","1321","12303.2613","8042.609","4260.6523","-","5-Master_CTA-MESTRE-MCS"
"MESTRE-MCS","5","20","0","0","0","0","29.899746","1","0","0","1","byplayer","0","0","-","8","1321","11826.6057","7655.8687","4170.737","-","5-Master_CTA-MESTRE-MCS"
"AnDreviZ","6","10","1","0","1","0","188.875","1","0","1","5","byzone","0","0","340.07474","15","1203","7204.96794","6743.3965","461.57144","-","6-AnDreviZ-PrivacKadall-nAsty--Spawnsbg"
"PrivacKadall","6","22","0","0","0","0","0","0","0","2","7","byzone","0","0","-","8","1185","7392.786","7392.786","-","-","6-AnDreviZ-PrivacKadall-nAsty--Spawnsbg"
"nAsty-","6","6","3","0","2","2","726.6245","0","4","0","7","byplayer","0","0","214.1713","7","1240","8238.899","7981.573","257.326","-","6-AnDreviZ-PrivacKadall-nAsty--Spawnsbg"
"Spawnsbg","6","21","0","0","0","0","121.021545","1","0","6","5","byplayer","1","0","-","8","1262","7831.907","7236.868","595.039","-","6-AnDreviZ-PrivacKadall-nAsty--Spawnsbg"
"llLordSparkll","7","25","0","0","0","0","100","0","1","0","4","byplayer","0","0","-","11","1240","12116.6271","8359.539","3757.0881","-","7-llLordSparkll-koszz-Oboneco-vim_do_lite"
"koszz","7","26","0","0","0","0","27.015524","0","0","1","2","byplayer","0","0","-","7","1240","12031.4422","8349.66","3681.7822","-","7-llLordSparkll-koszz-Oboneco-vim_do_lite"
"Oboneco","7","23","0","0","0","0","11.88","0","0","0","2","byplayer","1","0","-","13","1240","12212.938","7798.4556","4414.4824","-","7-llLordSparkll-koszz-Oboneco-vim_do_lite"
"vim_do_lite","7","24","0","0","0","0","124.87274","0","0","0","3","byplayer","0","0","-","9","1240","12247.2695","8486.146","3761.1235","-","7-llLordSparkll-koszz-Oboneco-vim_do_lite"
"MatheusCenorao","8","27","0","0","0","0","23.119642","0","0","3","1","byplayer","0","0","-","11","1141","9892.227146","9867.131","-","25.096146","8-MatheusCenorao-El_gasolino-DEXXX777"
